index,Song,Artist,Gender,Album,Date,URL,Profanities
99,I Usually Don't,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/iusually.fab.txt,"{'horn': 1, 'nigga': 1, 'shit': 1, 'fuck': 1, 'burn': 1, 'blow': 1, 'girls': 1, 'fucked': 1}"
100,Renegade,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/renegade.fab.txt,"{'fuck': 2, 'mad': 1, 'dick': 1, 'hole': 1, 'fucking': 1, 'girls': 1, 'dirty': 1, 'nigga': 2, 'joint': 3, 'erection': 1, 'weapon': 1, 'dead': 1, 'blow': 1, 'kill': 1}"
101,F You Too,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/fyoutoo.fab.txt,"{'niggaz': 4, 'fuck': 6, 'nigga': 1, 'hole': 1, 'die': 1, 'dead': 1, 'faggot': 1, 'ass': 2, 'swallow': 1, 'semen': 1, 'shoot': 1, 'blow': 1, 'kid': 1, 'fucka': 1}"
102,B.K. Style,FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/bk_style.fab.txt,"{'kill': 1, 'pistol': 1, 'gun': 1, 'joint': 1, 'nigga': 3, 'stupid': 1, 'weapon': 2, 'black': 1, 'fuckin': 1}"
103,Can't Let You Go (Remix),FABOLOUS,M,More Street Dreams Pt. 2: The Mixtape,, http://ohhla.com/anonymous/fabolous/mstreet2/cant_rmx.fab.txt,"{'ass': 1, 'black': 1, 'nigga': 1, 'kid': 1, 'girls': 1, 'kinky': 1, 'pimp': 3}"
104,Don't Stop Won't Stop,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/dontstop.fab.txt,"{'nigga': 5, 'niggaz': 3, 'damn': 1, 'spit': 1}"
105,Real Talk (123),FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/realtalk.fab.txt,"{'niggaz': 2, 'gangsta': 2, 'ass': 2, 'shit': 1, 'pimp': 1, 'fuck': 2, 'nigga': 3, 'fucked': 1, 'loser': 1, 'naked': 1, 'sex': 1}"
106,Gangsta,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/gangsta.fab.txt,"{'hoes': 1, 'gangsta': 5, 'nigga': 2, 'fuck': 1, 'fucked': 1, 'girls': 1}"
107,Tit 4 Tat,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/tit4tat.fab.txt,"{'tit': 4, 'nigga': 1, 'gun': 1, 'niggaz': 1, 'ass': 4, 'fucking': 2, 'girls': 1, 'kid': 1, 'swallow': 1, 'loser': 1, 'fuck': 1}"
108,Baby,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/baby.fab.txt,"{'stroke': 1, 'sex': 1}"
109,Girls,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/girls.fab.txt,"{'pros': 1, 'hoes': 1, 'shit': 1, 'tits': 1, 'nasty': 1}"
110,Church,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/church.fab.txt,"{'church': 1, 'bitches': 1, 'fuck': 1, 'stroke': 1, 'hoes': 2, 'nigga': 1, 'ho': 1, 'ass': 2, 'died': 1, 'sick': 1, 'black': 1, 'piss': 1, 'fart': 1, 'shit': 1}"
111,Can You Hear Me,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/can_hear.fab.txt,"{'niggaz': 4, 'laid': 1, 'bitch': 3, 'nigga': 4, 'shit': 2, 'hoes': 1, 'dick': 1, 'fucked': 3, 'christ': 1, 'black': 1, 'ass': 1, 'kid': 1}"
